"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"CSS Locators","482","CSS Locators: Attribute","","Thu Jan 15 14:29:39 UTC 2026","passed","Thu Jan 15 14:29:40 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssAttributeLocator"
"CSS Locators","494","CSS Locators: Nth-Child","","Thu Jan 15 14:29:49 UTC 2026","passed","Thu Jan 15 14:29:50 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssNthChildLocator"
"XPath Locators","493","XPath: Following-sibling","","Thu Jan 15 14:29:45 UTC 2026","passed","Thu Jan 15 14:29:45 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathFollowingSiblingLocator"
"","1152","cookiesTest()","","Thu Jan 15 14:29:14 UTC 2026","passed","Thu Jan 15 14:29:15 UTC 2026","","ui.CookiesTests","ui.CookiesTests","cookiesTest"
"XPath Locators","506","XPath: Contains Text","","Thu Jan 15 14:29:44 UTC 2026","passed","Thu Jan 15 14:29:44 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathContainsTextLocator"
"","623","Возврат на главную страницу","","Thu Jan 15 14:29:53 UTC 2026","passed","Thu Jan 15 14:29:53 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","returnToHomePageTest"
"XPath Locators","513","XPath: Относительный путь","","Thu Jan 15 14:29:43 UTC 2026","passed","Thu Jan 15 14:29:43 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathLocator"
"","562","launchAlertAcceptanceTest()","","Thu Jan 15 14:29:20 UTC 2026","passed","Thu Jan 15 14:29:21 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","launchAlertAcceptanceTest"
"CSS Locators","487","CSS Locators: Tag + ID","","Thu Jan 15 14:29:45 UTC 2026","passed","Thu Jan 15 14:29:46 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndIdLocator"
"CSS Locators","519","CSS Locators: Name","","Thu Jan 15 14:29:48 UTC 2026","passed","Thu Jan 15 14:29:49 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssNameLocator"
"CSS Locators","506","CSS Locators: Substring","","Thu Jan 15 14:29:36 UTC 2026","passed","Thu Jan 15 14:29:36 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSubstringLocator"
"","639","colourLaunchConfirmTest()","","Thu Jan 15 14:29:15 UTC 2026","passed","Thu Jan 15 14:29:16 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchConfirmTest"
"","563","dismissLaunchPromptTest()","","Thu Jan 15 14:29:21 UTC 2026","passed","Thu Jan 15 14:29:21 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchPromptTest"
"XPath Locators","541","XPath: Not Smth","","Thu Jan 15 14:29:30 UTC 2026","passed","Thu Jan 15 14:29:31 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNotSmthLocator"
"XPath Locators","497","XPath: Smth And Smth","","Thu Jan 15 14:29:33 UTC 2026","passed","Thu Jan 15 14:29:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathSmthAndSmthLocator"
"Base Locators","529","Base Locators: Partial Link Text","","Thu Jan 15 14:29:31 UTC 2026","passed","Thu Jan 15 14:29:32 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","partialLinkTextLocator"
"CSS Locators","520","CSS Locators: Suffix","","Thu Jan 15 14:29:30 UTC 2026","passed","Thu Jan 15 14:29:30 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSuffixLocator"
"","1085","Выбор и отмена элемента (select/deselect)","","Thu Jan 15 14:29:27 UTC 2026","passed","Thu Jan 15 14:29:29 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","selectFromListTest"
"CSS Locators","515","CSS Locators: Child","","Thu Jan 15 14:29:32 UTC 2026","passed","Thu Jan 15 14:29:33 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssChildLocator"
