"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","552","localStorageSetSeveralItemTest()","","Wed Jan 14 20:55:30 UTC 2026","passed","Wed Jan 14 20:55:30 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetSeveralItemTest"
"XPath Locators","499","XPath: Index (Nth element with smth)","","Wed Jan 14 20:53:10 UTC 2026","passed","Wed Jan 14 20:53:10 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexNthElementLocator"
"","4030","Отправка формы (SubmitButton)","","Wed Jan 14 20:52:44 UTC 2026","broken","Wed Jan 14 20:52:48 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","submitWebFormWitTextTest"
"CSS Locators","505","CSS Locators: Attribute","","Wed Jan 14 20:53:00 UTC 2026","passed","Wed Jan 14 20:53:00 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssAttributeLocator"
"","1062","Выбор и отмена элемента (select/deselect)","","Wed Jan 14 20:52:48 UTC 2026","passed","Wed Jan 14 20:52:49 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","selectFromListTest"
"XPath Locators","516","XPath: Index (last element)","","Wed Jan 14 20:53:03 UTC 2026","passed","Wed Jan 14 20:53:04 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexLastElementLocator"
"","540","Загрузка файла","","Wed Jan 14 20:52:49 UTC 2026","broken","Wed Jan 14 20:52:50 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","fileUploadTest"
"XPath Locators","536","XPath: Smth And Smth","","Wed Jan 14 20:52:54 UTC 2026","passed","Wed Jan 14 20:52:55 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathSmthAndSmthLocator"
"XPath Locators","492","XPath: Not Smth","","Wed Jan 14 20:52:51 UTC 2026","passed","Wed Jan 14 20:52:52 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNotSmthLocator"
"","1574","Невозможность включения двух чекбоксов радио","","Wed Jan 14 20:55:28 UTC 2026","broken","Wed Jan 14 20:55:30 UTC 2026","","ui.WebFormTests","ui.WebFormTests","bothRadioCheckboxTest"
"XPath Locators","540","XPath: Text","","Wed Jan 14 20:53:03 UTC 2026","passed","Wed Jan 14 20:53:03 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTextLocator"
"XPath Locators","505","XPath: Descendant-or-self","","Wed Jan 14 20:52:52 UTC 2026","passed","Wed Jan 14 20:52:52 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantOrSelfLocator"
"","653","colourLaunchConfirmTest()","","Wed Jan 14 20:52:33 UTC 2026","passed","Wed Jan 14 20:52:33 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchConfirmTest"
"","623","sessionStorageDeleteTest()","","Wed Jan 14 20:55:31 UTC 2026","passed","Wed Jan 14 20:55:32 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageDeleteTest"
"XPath Locators","542","XPath: Ancestors of the current node","","Wed Jan 14 20:53:02 UTC 2026","passed","Wed Jan 14 20:53:03 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAncestorOfTheCurrentNodeLocator"
"","818","Скролл страницы","","Wed Jan 14 20:52:30 UTC 2026","passed","Wed Jan 14 20:52:30 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"XPath Locators","583","XPath: Any Parent","","Wed Jan 14 20:53:01 UTC 2026","passed","Wed Jan 14 20:53:02 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentOrSelfLocator"
"","636","Проверка dropdown (datalist)","","Wed Jan 14 20:54:24 UTC 2026","passed","Wed Jan 14 20:54:25 UTC 2026","","ui.WebFormTests","ui.WebFormTests","dropdownDataListTest"
"","6986","Отправка формы. Поле текста со знаками","","Wed Jan 14 20:55:01 UTC 2026","broken","Wed Jan 14 20:55:08 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputSignsTest"
"CSS Locators","538","CSS Locators: Prefix","","Wed Jan 14 20:53:00 UTC 2026","passed","Wed Jan 14 20:53:01 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssPrefixLocator"
"","442","Количество страниц","","Wed Jan 14 20:53:13 UTC 2026","passed","Wed Jan 14 20:53:13 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","numberOfPagesTest"
"CSS Locators","644","CSS Locators: Nth-Child","","Wed Jan 14 20:53:10 UTC 2026","passed","Wed Jan 14 20:53:11 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssNthChildLocator"
"","424","openHomePageTest()","","Wed Jan 14 20:53:18 UTC 2026","passed","Wed Jan 14 20:53:19 UTC 2026","","ui.Selen","ui.Selen","openHomePageTest"
"XPath Locators","503","XPath: Following-sibling","","Wed Jan 14 20:53:06 UTC 2026","passed","Wed Jan 14 20:53:06 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathFollowingSiblingLocator"
"","573","acceptLaunchConfirmTest()","","Wed Jan 14 20:52:34 UTC 2026","passed","Wed Jan 14 20:52:34 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchConfirmTest"
"CSS Locators","494","CSS Locators: Tag + ID","","Wed Jan 14 20:53:06 UTC 2026","passed","Wed Jan 14 20:53:07 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndIdLocator"
"CSS Locators","517","CSS Locators: Exact Match","","Wed Jan 14 20:52:53 UTC 2026","passed","Wed Jan 14 20:52:53 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssExactMatchLocator"
"XPath Locators","495","XPath: Index (first element)","","Wed Jan 14 20:53:05 UTC 2026","passed","Wed Jan 14 20:53:06 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexFirstElementLocator"
"","523","localStorageSetItemTest()","","Wed Jan 14 20:55:30 UTC 2026","passed","Wed Jan 14 20:55:31 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetItemTest"
"CSS Locators","637","CSS Locators: Suffix","","Wed Jan 14 20:52:50 UTC 2026","passed","Wed Jan 14 20:52:51 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSuffixLocator"
"Base Locators","531","Base Locators: Name","","Wed Jan 14 20:52:54 UTC 2026","passed","Wed Jan 14 20:52:54 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseNameLocator"
"Base Locators","504","Base Locators: ID","","Wed Jan 14 20:52:56 UTC 2026","passed","Wed Jan 14 20:52:56 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseIdLocator"
"","589","acceptLaunchPromptTest()","","Wed Jan 14 20:52:35 UTC 2026","passed","Wed Jan 14 20:52:36 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchPromptTest"
"Base Locators","507","Base Locators: Class name","","Wed Jan 14 20:53:08 UTC 2026","passed","Wed Jan 14 20:53:09 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseClassNameLocator"
"Base Locators","478","Base Locators: Tag Name","","Wed Jan 14 20:53:08 UTC 2026","passed","Wed Jan 14 20:53:08 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","tagNameLocator"
