"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2924","Работа с мышью","","Wed Jan 14 21:16:52 UTC 2026","passed","Wed Jan 14 21:16:55 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIMouseClickTests"
"XPath Locators","559","XPath: Index (last element)","","Wed Jan 14 21:17:29 UTC 2026","passed","Wed Jan 14 21:17:30 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexLastElementLocator"
"","673","Отправка формы. Поле текстовое макс длина","","Wed Jan 14 21:18:34 UTC 2026","passed","Wed Jan 14 21:18:35 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaMaxLengthTest"
"","621","localStorageColorTest()","","Wed Jan 14 21:19:02 UTC 2026","passed","Wed Jan 14 21:19:03 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageColorTest"
"","573","localStorageSetItemTest()","","Wed Jan 14 21:19:02 UTC 2026","passed","Wed Jan 14 21:19:02 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetItemTest"
"","711","Возврат на главную страницу","","Wed Jan 14 21:17:41 UTC 2026","passed","Wed Jan 14 21:17:41 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","returnToHomePageTest"
"","726","Проверка копирования текста из readonly","","Wed Jan 14 21:18:43 UTC 2026","passed","Wed Jan 14 21:18:44 UTC 2026","","ui.WebFormTests","ui.WebFormTests","copyReadonlyTest"
"","1018","Отправка формы. Поле пароль со знаками и разной высоты текстом","","Wed Jan 14 21:18:55 UTC 2026","passed","Wed Jan 14 21:18:56 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordSignsTest"
"","596","Невозможность ввести текст/знаки в readonly поле","","Wed Jan 14 21:18:49 UTC 2026","passed","Wed Jan 14 21:18:50 UTC 2026","","ui.WebFormTests","ui.WebFormTests","readonlyInputTest"
"CSS Locators","552","CSS Locators: Tag + Attribute","","Wed Jan 14 21:17:24 UTC 2026","passed","Wed Jan 14 21:17:25 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndAttributeLocator"
"XPath Locators","556","XPath: Attribute","","Wed Jan 14 21:17:25 UTC 2026","passed","Wed Jan 14 21:17:25 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAttributeLocator"
"XPath Locators","560","XPath: Not Smth","","Wed Jan 14 21:17:16 UTC 2026","passed","Wed Jan 14 21:17:17 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNotSmthLocator"
"","656","Отображение главной страницы","","Wed Jan 14 21:17:41 UTC 2026","passed","Wed Jan 14 21:17:42 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","deFaultDisplayTest"
"","900","Отправка формы с пустым полем текста","","Wed Jan 14 21:18:41 UTC 2026","passed","Wed Jan 14 21:18:42 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputNullTest"
"","560","Изменение цвета в Color picker","","Wed Jan 14 21:18:59 UTC 2026","passed","Wed Jan 14 21:18:59 UTC 2026","","ui.WebFormTests","ui.WebFormTests","changeColorTest"
"XPath Locators","583","XPath: Any Parent","","Wed Jan 14 21:17:28 UTC 2026","passed","Wed Jan 14 21:17:28 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentOrSelfLocator"
"Base Locators","559","Base Locators: Class name","","Wed Jan 14 21:17:35 UTC 2026","passed","Wed Jan 14 21:17:35 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseClassNameLocator"
"","579","localStorageTest()","","Wed Jan 14 21:19:03 UTC 2026","passed","Wed Jan 14 21:19:04 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageTest"
