"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"CSS Locators","503","CSS Locators: Tag + ID","","Wed Jan 14 20:11:33 UTC 2026","passed","Wed Jan 14 20:11:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndIdLocator"
"XPath Locators","497","XPath: Tag","","Wed Jan 14 20:11:24 UTC 2026","passed","Wed Jan 14 20:11:25 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTagLocator"
"XPath Locators","492","XPath: Index (first element)","","Wed Jan 14 20:11:32 UTC 2026","passed","Wed Jan 14 20:11:33 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexFirstElementLocator"
"XPath Locators","503","XPath: Parent","","Wed Jan 14 20:11:22 UTC 2026","passed","Wed Jan 14 20:11:23 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentLocator"
"","1704","Отправка формы. Поле пароль со знаками и разной высоты текстом","","Wed Jan 14 20:12:53 UTC 2026","broken","Wed Jan 14 20:12:55 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordSignsTest"
"","868","Скролл страницы","","Wed Jan 14 20:10:58 UTC 2026","passed","Wed Jan 14 20:10:59 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"XPath Locators","510","XPath: Text","","Wed Jan 14 20:11:30 UTC 2026","passed","Wed Jan 14 20:11:30 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTextLocator"
"","573","shadowTest()","","Wed Jan 14 20:11:48 UTC 2026","passed","Wed Jan 14 20:11:49 UTC 2026","","ui.ShadowDOMTest","ui.ShadowDOMTest","shadowTest"
"","530","Загрузка файла","","Wed Jan 14 20:11:17 UTC 2026","broken","Wed Jan 14 20:11:17 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","fileUploadTest"
"","5139","Отправка формы. Поле пароль с длинным текстом","","Wed Jan 14 20:12:21 UTC 2026","broken","Wed Jan 14 20:12:26 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordLongTextTest"
"","1596","signInTest()","","Wed Jan 14 20:11:44 UTC 2026","broken","Wed Jan 14 20:11:46 UTC 2026","","ui.Selen","ui.Selen","signInTest"
