"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"XPath Locators","525","XPath: Index (first element)","","Thu Jan 15 14:50:24 UTC 2026","passed","Thu Jan 15 14:50:24 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexFirstElementLocator"
"","805","Отправка формы c пустой текстовой областью","","Thu Jan 15 14:51:41 UTC 2026","passed","Thu Jan 15 14:51:42 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaNullTest"
"XPath Locators","502","XPath: Descendant","","Thu Jan 15 14:50:16 UTC 2026","passed","Thu Jan 15 14:50:16 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantLocator"
"","586","acceptLaunchConfirmTest()","","Thu Jan 15 14:49:55 UTC 2026","passed","Thu Jan 15 14:49:56 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchConfirmTest"
"","739","colourLaunchConfirmTest()","","Thu Jan 15 14:49:54 UTC 2026","passed","Thu Jan 15 14:49:55 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchConfirmTest"
"XPath Locators","511","XPath: Index (last element)","","Thu Jan 15 14:50:22 UTC 2026","passed","Thu Jan 15 14:50:22 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexLastElementLocator"
"","641","localStorageSetSeveralItemTest()","","Thu Jan 15 14:51:52 UTC 2026","passed","Thu Jan 15 14:51:53 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetSeveralItemTest"
"","531","localStorageSetItemTest()","","Thu Jan 15 14:51:53 UTC 2026","passed","Thu Jan 15 14:51:54 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetItemTest"
"Base Locators","476","Base Locators: Tag Name","","Thu Jan 15 14:50:26 UTC 2026","passed","Thu Jan 15 14:50:27 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","tagNameLocator"
"","1138","Перетаскивание элемента","","Thu Jan 15 14:49:50 UTC 2026","passed","Thu Jan 15 14:49:51 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIDragAndDropTest"
"","886","Отправка формы. Поле пароль с длинным текстом","","Thu Jan 15 14:51:28 UTC 2026","passed","Thu Jan 15 14:51:29 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordNullTest"
"","640","Невозможность ввести текст/знаки в заблокированное поле","","Thu Jan 15 14:51:22 UTC 2026","passed","Thu Jan 15 14:51:23 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInputTest"
"","674","Отображение главной страницы","","Thu Jan 15 14:50:32 UTC 2026","passed","Thu Jan 15 14:50:33 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","deFaultDisplayTest"
"","755","Отправка формы с включенным чек-боксом Checked","","Thu Jan 15 14:51:50 UTC 2026","passed","Thu Jan 15 14:51:51 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkedIsEnabledTest"
"CSS Locators","496","CSS Locators: Tag + Class","","Thu Jan 15 14:50:25 UTC 2026","passed","Thu Jan 15 14:50:26 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndClassLocator"
"CSS Locators","502","CSS Locators: Class name","","Thu Jan 15 14:50:13 UTC 2026","passed","Thu Jan 15 14:50:14 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssClassNameLocator"
"XPath Locators","495","XPath: Close Parent","","Thu Jan 15 14:50:18 UTC 2026","passed","Thu Jan 15 14:50:18 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathCloseParentLocator"
"","805","Отправка формы. Поле пароль со знаками и разной высоты текстом","","Thu Jan 15 14:51:48 UTC 2026","passed","Thu Jan 15 14:51:49 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordSignsTest"
"CSS Locators","527","CSS Locators: Substring","","Thu Jan 15 14:50:15 UTC 2026","passed","Thu Jan 15 14:50:15 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSubstringLocator"
