"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","355","Отправка формы с датой","","Wed Jan 14 19:23:00 UTC 2026","broken","Wed Jan 14 19:23:00 UTC 2026","","ui.WebFormTests","ui.WebFormTests","datePickerTest"
"","347","loadingImagesImplicitWaitTest()","","Wed Jan 14 19:22:55 UTC 2026","broken","Wed Jan 14 19:22:55 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesImplicitWaitTest"
"","531","openHomePageTest()","","Wed Jan 14 19:22:52 UTC 2026","passed","Wed Jan 14 19:22:52 UTC 2026","","ui.Selen","ui.Selen","openHomePageTest"
"","377","cookiesTest()","","Wed Jan 14 19:22:24 UTC 2026","broken","Wed Jan 14 19:22:25 UTC 2026","","ui.CookiesTests","ui.CookiesTests","cookiesTest"
"CSS Locators","336","CSS Locators: Tag + Attribute","","Wed Jan 14 19:22:37 UTC 2026","broken","Wed Jan 14 19:22:37 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndAttributeLocator"
"XPath Locators","345","XPath: Smth And Smth","","Wed Jan 14 19:22:34 UTC 2026","broken","Wed Jan 14 19:22:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathSmthAndSmthLocator"
"","1623","signInTest()","","Wed Jan 14 19:22:50 UTC 2026","broken","Wed Jan 14 19:22:52 UTC 2026","","ui.Selen","ui.Selen","signInTest"
"","347","Отправка формы. Поле текста со знаками","","Wed Jan 14 19:23:01 UTC 2026","broken","Wed Jan 14 19:23:01 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputSignsTest"
"","349","dismissLaunchPromptTest()","","Wed Jan 14 19:22:28 UTC 2026","broken","Wed Jan 14 19:22:28 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchPromptTest"
"CSS Locators","367","CSS Locators: Prefix","","Wed Jan 14 19:22:38 UTC 2026","broken","Wed Jan 14 19:22:39 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssPrefixLocator"
"CSS Locators","343","CSS Locators: Tag + ID","","Wed Jan 14 19:22:42 UTC 2026","broken","Wed Jan 14 19:22:42 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndIdLocator"
"","365","Пагинация","","Wed Jan 14 19:22:46 UTC 2026","broken","Wed Jan 14 19:22:46 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","secondPagePaginationTests"
"","378","Скролл страницы","","Wed Jan 14 19:22:24 UTC 2026","broken","Wed Jan 14 19:22:24 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"","399","acceptLaunchPromptTest()","","Wed Jan 14 19:22:26 UTC 2026","broken","Wed Jan 14 19:22:27 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchPromptTest"
"","328","Количество страниц","","Wed Jan 14 19:22:46 UTC 2026","broken","Wed Jan 14 19:22:46 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","numberOfPagesTest"
"","344","Невозможность ввести текст/знаки в заблокированное поле","","Wed Jan 14 19:22:56 UTC 2026","broken","Wed Jan 14 19:22:56 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInputTest"
"","338","Отправка формы. Поле пароль со знаками и разной высоты текстом","","Wed Jan 14 19:23:02 UTC 2026","broken","Wed Jan 14 19:23:02 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordSignsTest"
"XPath Locators","372","XPath: Attribute","","Wed Jan 14 19:22:37 UTC 2026","broken","Wed Jan 14 19:22:38 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAttributeLocator"
"XPath Locators","351","XPath: Tag","","Wed Jan 14 19:22:36 UTC 2026","broken","Wed Jan 14 19:22:36 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTagLocator"
"","1632","openLoginPageTest()","","Wed Jan 14 19:22:52 UTC 2026","broken","Wed Jan 14 19:22:54 UTC 2026","","ui.Selen","ui.Selen","openLoginPageTest"
"","364","infiniteScrollTest()","","Wed Jan 14 19:22:29 UTC 2026","broken","Wed Jan 14 19:22:29 UTC 2026","","ui.InfiniteScrollTests","ui.InfiniteScrollTests","infiniteScrollTest"
"","334","slowCalcWaitTest()","","Wed Jan 14 19:22:54 UTC 2026","broken","Wed Jan 14 19:22:55 UTC 2026","","ui.SlowCalcTest","ui.SlowCalcTest","slowCalcWaitTest"
"CSS Locators","343","CSS Locators: Tag + Class","","Wed Jan 14 19:22:42 UTC 2026","broken","Wed Jan 14 19:22:43 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndClassLocator"
"","350","(Введение текста в поле Text input(SendKeys)","","Wed Jan 14 19:22:31 UTC 2026","broken","Wed Jan 14 19:22:31 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","textInputTest"
"CSS Locators","345","CSS Locators: ID","","Wed Jan 14 19:22:36 UTC 2026","broken","Wed Jan 14 19:22:37 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssIdLocator"
"","347","localStorageSetItemTest()","","Wed Jan 14 19:23:04 UTC 2026","broken","Wed Jan 14 19:23:04 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetItemTest"
"","346","loadingImagesFluentWaitTest()","","Wed Jan 14 19:22:55 UTC 2026","broken","Wed Jan 14 19:22:55 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesFluentWaitTest"
"CSS Locators","345","CSS Locators: Tag","","Wed Jan 14 19:22:41 UTC 2026","broken","Wed Jan 14 19:22:41 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagLocator"
"","346","Отправка формы. Поле пароль с длинным текстом","","Wed Jan 14 19:22:56 UTC 2026","broken","Wed Jan 14 19:22:57 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordLongTextTest"
"XPath Locators","346","XPath: Any Parent","","Wed Jan 14 19:22:39 UTC 2026","broken","Wed Jan 14 19:22:39 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentOrSelfLocator"
"","347","Отправка формы c пустой текстовой областью","","Wed Jan 14 19:23:00 UTC 2026","broken","Wed Jan 14 19:23:01 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaNullTest"
"XPath Locators","367","XPath: Descendant","","Wed Jan 14 19:22:36 UTC 2026","broken","Wed Jan 14 19:22:36 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantLocator"
"XPath Locators","353","XPath: Not Smth","","Wed Jan 14 19:22:32 UTC 2026","broken","Wed Jan 14 19:22:32 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNotSmthLocator"
"CSS Locators","338","CSS Locators: Attribute","","Wed Jan 14 19:22:38 UTC 2026","broken","Wed Jan 14 19:22:38 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssAttributeLocator"
"","358","Выбор и отмена элемента (select/deselect)","","Wed Jan 14 19:22:30 UTC 2026","broken","Wed Jan 14 19:22:31 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","selectFromListTest"
"XPath Locators","330","XPath: Child","","Wed Jan 14 19:22:39 UTC 2026","broken","Wed Jan 14 19:22:39 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathChildLocator"
"CSS Locators","356","CSS Locators: Class name","","Wed Jan 14 19:22:34 UTC 2026","broken","Wed Jan 14 19:22:35 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssClassNameLocator"
"CSS Locators","381","CSS Locators: Substring","","Wed Jan 14 19:22:35 UTC 2026","broken","Wed Jan 14 19:22:36 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSubstringLocator"
"","339","localStorageTest()","","Wed Jan 14 19:23:05 UTC 2026","broken","Wed Jan 14 19:23:05 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageTest"
"","333","sessionStorageTest()","","Wed Jan 14 19:23:05 UTC 2026","broken","Wed Jan 14 19:23:05 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageTest"
"Base Locators","362","Base Locators: ID","","Wed Jan 14 19:22:35 UTC 2026","broken","Wed Jan 14 19:22:35 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseIdLocator"
"","420","Перетаскивание элемента","","Wed Jan 14 19:22:23 UTC 2026","broken","Wed Jan 14 19:22:24 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIDragAndDropTest"
"","321","localStorageColorTest()","","Wed Jan 14 19:23:04 UTC 2026","broken","Wed Jan 14 19:23:04 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageColorTest"
"","335","loadingImagesExplicitWaitTest()","","Wed Jan 14 19:22:55 UTC 2026","broken","Wed Jan 14 19:22:56 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesExplicitWaitTest"
"","358","Работа с наведением мыши","","Wed Jan 14 19:22:24 UTC 2026","broken","Wed Jan 14 19:22:24 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIMouseMoveTest"
"Base Locators","361","Base Locators: Name","","Wed Jan 14 19:22:34 UTC 2026","broken","Wed Jan 14 19:22:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseNameLocator"
"XPath Locators","337","XPath: Normalize-space","","Wed Jan 14 19:22:43 UTC 2026","broken","Wed Jan 14 19:22:43 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNormalizeSpaceLocator"
"XPath Locators","351","XPath: Descendant-or-self","","Wed Jan 14 19:22:32 UTC 2026","broken","Wed Jan 14 19:22:33 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantOrSelfLocator"
"Base Locators","351","Base Locators: Tag Name","","Wed Jan 14 19:22:43 UTC 2026","broken","Wed Jan 14 19:22:43 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","tagNameLocator"
"","346","Возврат на главную страницу","","Wed Jan 14 19:22:46 UTC 2026","broken","Wed Jan 14 19:22:47 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","returnToHomePageTest"
"CSS Locators","361","CSS Locators: Child","","Wed Jan 14 19:22:33 UTC 2026","broken","Wed Jan 14 19:22:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssChildLocator"
"XPath Locators","334","XPath: Index (Nth element with smth)","","Wed Jan 14 19:22:45 UTC 2026","broken","Wed Jan 14 19:22:45 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexNthElementLocator"
"","340","Отправка формы с пустым полем текста","","Wed Jan 14 19:22:58 UTC 2026","broken","Wed Jan 14 19:22:59 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputNullTest"
