"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","576","sessionStorageTest()","","Wed Jan 14 21:03:33 UTC 2026","passed","Wed Jan 14 21:03:33 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageTest"
"","1662","Невозможность включения двух чекбоксов радио","","Wed Jan 14 21:03:28 UTC 2026","broken","Wed Jan 14 21:03:30 UTC 2026","","ui.WebFormTests","ui.WebFormTests","bothRadioCheckboxTest"
"XPath Locators","564","XPath: Ancestors of the current node","","Wed Jan 14 21:02:06 UTC 2026","passed","Wed Jan 14 21:02:07 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAncestorOfTheCurrentNodeLocator"
"Base Locators","562","Base Locators: Partial Link Text","","Wed Jan 14 21:01:55 UTC 2026","passed","Wed Jan 14 21:01:56 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","partialLinkTextLocator"
"CSS Locators","546","CSS Locators: Name","","Wed Jan 14 21:02:14 UTC 2026","passed","Wed Jan 14 21:02:14 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssNameLocator"
"","954","openWindowsTest()","","Wed Jan 14 21:02:22 UTC 2026","passed","Wed Jan 14 21:02:23 UTC 2026","","ui.OpenAllLinksTest","ui.OpenAllLinksTest","openWindowsTest"
"","645","acceptLaunchConfirmTest()","","Wed Jan 14 21:01:39 UTC 2026","passed","Wed Jan 14 21:01:40 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchConfirmTest"
"","1585","Пагинация","","Wed Jan 14 21:02:16 UTC 2026","passed","Wed Jan 14 21:02:18 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","secondPagePaginationTests"
"","631","localStorageSetSeveralItemTest()","","Wed Jan 14 21:03:30 UTC 2026","passed","Wed Jan 14 21:03:30 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetSeveralItemTest"
"","1615","Отправка формы с включенным чек-боксом Checked","","Wed Jan 14 21:03:25 UTC 2026","broken","Wed Jan 14 21:03:26 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkedIsDisabledTest"
"","904","Отправка формы. Поле текста со знаками","","Wed Jan 14 21:03:19 UTC 2026","passed","Wed Jan 14 21:03:20 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputSignsTest"
"XPath Locators","569","XPath: Smth And Smth","","Wed Jan 14 21:01:58 UTC 2026","passed","Wed Jan 14 21:01:58 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathSmthAndSmthLocator"
"XPath Locators","554","XPath: Any Parent","","Wed Jan 14 21:02:05 UTC 2026","passed","Wed Jan 14 21:02:06 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentOrSelfLocator"
"","813","Скролл страницы","","Wed Jan 14 21:01:34 UTC 2026","passed","Wed Jan 14 21:01:35 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"XPath Locators","560","XPath: Close Parent","","Wed Jan 14 21:02:03 UTC 2026","passed","Wed Jan 14 21:02:04 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathCloseParentLocator"
"","661","Очищение поля Text input(Clear text)","","Wed Jan 14 21:01:50 UTC 2026","passed","Wed Jan 14 21:01:50 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","clearTextTest"
"","692","sessionStorageDeleteTest()","","Wed Jan 14 21:03:31 UTC 2026","passed","Wed Jan 14 21:03:32 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageDeleteTest"
"Base Locators","557","Base Locators: Tag Name","","Wed Jan 14 21:02:12 UTC 2026","passed","Wed Jan 14 21:02:13 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","tagNameLocator"
"XPath Locators","570","XPath: Normalize-space","","Wed Jan 14 21:02:12 UTC 2026","passed","Wed Jan 14 21:02:12 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNormalizeSpaceLocator"
"","1001","Отправка формы. Поле пароль со знаками и разной высоты текстом","","Wed Jan 14 21:03:04 UTC 2026","passed","Wed Jan 14 21:03:05 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordPasteTest"
"","639","Отображение главной страницы","","Wed Jan 14 21:02:19 UTC 2026","passed","Wed Jan 14 21:02:20 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","deFaultDisplayTest"
"","880","Отправка формы с датой","","Wed Jan 14 21:03:16 UTC 2026","passed","Wed Jan 14 21:03:17 UTC 2026","","ui.WebFormTests","ui.WebFormTests","datePickerTest"
"","8652","loadingImagesImplicitWaitTest()","","Wed Jan 14 21:02:37 UTC 2026","passed","Wed Jan 14 21:02:46 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesImplicitWaitTest"
"CSS Locators","550","CSS Locators: Substring","","Wed Jan 14 21:02:00 UTC 2026","passed","Wed Jan 14 21:02:00 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSubstringLocator"
"","564","shadowTest()","","Wed Jan 14 21:02:26 UTC 2026","passed","Wed Jan 14 21:02:27 UTC 2026","","ui.ShadowDOMTest","ui.ShadowDOMTest","shadowTest"
"","509","openHomePageTest()","","Wed Jan 14 21:02:24 UTC 2026","passed","Wed Jan 14 21:02:25 UTC 2026","","ui.Selen","ui.Selen","openHomePageTest"
"XPath Locators","593","XPath: Tag","","Wed Jan 14 21:02:00 UTC 2026","passed","Wed Jan 14 21:02:01 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTagLocator"
"","673","localStorageColorTest()","","Wed Jan 14 21:03:31 UTC 2026","passed","Wed Jan 14 21:03:31 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageColorTest"
"","598","localStorageTest()","","Wed Jan 14 21:03:32 UTC 2026","passed","Wed Jan 14 21:03:33 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageTest"
"","597","Невозможность ввести текст/знаки в заблокированное поле","","Wed Jan 14 21:02:58 UTC 2026","passed","Wed Jan 14 21:02:59 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInputTest"
