"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","380","colourLaunchPromptTest()","","Wed Jan 14 16:32:49 UTC 2026","broken","Wed Jan 14 16:32:50 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchPromptTest"
"Base Locators","357","Base Locators: Tag Name","","Wed Jan 14 16:33:06 UTC 2026","broken","Wed Jan 14 16:33:06 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","tagNameLocator"
"","375","Скролл страницы","","Wed Jan 14 16:32:46 UTC 2026","broken","Wed Jan 14 16:32:46 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"XPath Locators","351","XPath: Относительный путь","","Wed Jan 14 16:33:03 UTC 2026","broken","Wed Jan 14 16:33:03 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathLocator"
"","370","infiniteScrollTest()","","Wed Jan 14 16:32:51 UTC 2026","broken","Wed Jan 14 16:32:52 UTC 2026","","ui.InfiniteScrollTests","ui.InfiniteScrollTests","infiniteScrollTest"
"XPath Locators","360","XPath: Index (Nth element with smth)","","Wed Jan 14 16:33:07 UTC 2026","broken","Wed Jan 14 16:33:08 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexNthElementLocator"
"XPath Locators","353","XPath: Smth And Smth","","Wed Jan 14 16:32:57 UTC 2026","broken","Wed Jan 14 16:32:57 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathSmthAndSmthLocator"
"Base Locators","365","Base Locators: ID","","Wed Jan 14 16:32:58 UTC 2026","broken","Wed Jan 14 16:32:58 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseIdLocator"
"CSS Locators","352","CSS Locators: Class name","","Wed Jan 14 16:32:57 UTC 2026","broken","Wed Jan 14 16:32:57 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssClassNameLocator"
"","349","Отправка формы. Поле текстовое макс длина","","Wed Jan 14 16:33:19 UTC 2026","broken","Wed Jan 14 16:33:20 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaMaxLengthTest"
"","364","closeLaunchModalTest()","","Wed Jan 14 16:32:50 UTC 2026","broken","Wed Jan 14 16:32:50 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","closeLaunchModalTest"
"","399","dismissLaunchConfirmTest()","","Wed Jan 14 16:32:48 UTC 2026","broken","Wed Jan 14 16:32:48 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchConfirmTest"
"XPath Locators","357","XPath: Following-sibling","","Wed Jan 14 16:33:05 UTC 2026","broken","Wed Jan 14 16:33:05 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathFollowingSiblingLocator"
