"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","458","Количество страниц","","Thu Jan 15 14:03:18 UTC 2026","passed","Thu Jan 15 14:03:18 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","numberOfPagesTest"
"","720","Возврат на главную страницу","","Thu Jan 15 14:03:18 UTC 2026","passed","Thu Jan 15 14:03:19 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","returnToHomePageTest"
"","770","Отправка формы с включенным чек-боксом Checked","","Thu Jan 15 14:04:34 UTC 2026","passed","Thu Jan 15 14:04:35 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkedIsEnabledTest"
"","620","colourLaunchModalTest()","","Thu Jan 15 14:02:43 UTC 2026","passed","Thu Jan 15 14:02:43 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchModalTest"
"","738","openLoginPageTest()","","Thu Jan 15 14:03:33 UTC 2026","passed","Thu Jan 15 14:03:34 UTC 2026","","ui.Selen","ui.Selen","openLoginPageTest"
"","1678","saveChangesLaunchModalTest()","","Thu Jan 15 14:02:47 UTC 2026","passed","Thu Jan 15 14:02:49 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","saveChangesLaunchModalTest"
"CSS Locators","489","CSS Locators: Tag + Class","","Thu Jan 15 14:03:11 UTC 2026","passed","Thu Jan 15 14:03:12 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndClassLocator"
"Base Locators","504","Base Locators: Name","","Thu Jan 15 14:02:59 UTC 2026","passed","Thu Jan 15 14:02:59 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseNameLocator"
"","993","Перетаскивание элемента","","Thu Jan 15 14:02:36 UTC 2026","passed","Thu Jan 15 14:02:37 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIDragAndDropTest"
"","1480","signInTest()","","Thu Jan 15 14:03:31 UTC 2026","broken","Thu Jan 15 14:03:33 UTC 2026","","ui.Selen","ui.Selen","signInTest"
"","604","dismissLaunchConfirmTest()","","Thu Jan 15 14:02:41 UTC 2026","passed","Thu Jan 15 14:02:42 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchConfirmTest"
