"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1228","openWindowsTest()","","Wed Jan 14 19:44:42 UTC 2026","passed","Wed Jan 14 19:44:43 UTC 2026","","ui.OpenAllLinksTest","ui.OpenAllLinksTest","openWindowsTest"
"","351","Отправка формы с датой","","Wed Jan 14 19:44:53 UTC 2026","broken","Wed Jan 14 19:44:54 UTC 2026","","ui.WebFormTests","ui.WebFormTests","datePickerTest"
"","2175","openAllLinks()","","Wed Jan 14 19:44:40 UTC 2026","broken","Wed Jan 14 19:44:42 UTC 2026","","ui.OpenAllLinksTest","ui.OpenAllLinksTest","openAllLinks"
"","399","cookiesTest()","","Wed Jan 14 19:44:16 UTC 2026","broken","Wed Jan 14 19:44:17 UTC 2026","","ui.CookiesTests","ui.CookiesTests","cookiesTest"
"","351","Изменение цвета в Color picker","","Wed Jan 14 19:44:56 UTC 2026","broken","Wed Jan 14 19:44:57 UTC 2026","","ui.WebFormTests","ui.WebFormTests","changeColorTest"
"XPath Locators","365","XPath: Index (last element)","","Wed Jan 14 19:44:33 UTC 2026","broken","Wed Jan 14 19:44:33 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexLastElementLocator"
"","377","Отправка формы. Поле пароль со знаками и разной высоты текстом","","Wed Jan 14 19:44:55 UTC 2026","broken","Wed Jan 14 19:44:56 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordSignsTest"
"CSS Locators","387","CSS Locators: Class name","","Wed Jan 14 19:44:27 UTC 2026","broken","Wed Jan 14 19:44:27 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssClassNameLocator"
"","365","infiniteScrollTest()","","Wed Jan 14 19:44:21 UTC 2026","broken","Wed Jan 14 19:44:21 UTC 2026","","ui.InfiniteScrollTests","ui.InfiniteScrollTests","infiniteScrollTest"
"","349","Отправка формы с пустым полем текста","","Wed Jan 14 19:44:52 UTC 2026","broken","Wed Jan 14 19:44:52 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputNullTest"
"","394","Скролл страницы","","Wed Jan 14 19:44:15 UTC 2026","broken","Wed Jan 14 19:44:16 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"","407","colourLaunchConfirmTest()","","Wed Jan 14 19:44:17 UTC 2026","broken","Wed Jan 14 19:44:17 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchConfirmTest"
"","401","colourLaunchPromptTest()","","Wed Jan 14 19:44:19 UTC 2026","broken","Wed Jan 14 19:44:19 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchPromptTest"
"","354","loadingImagesImplicitWaitTest()","","Wed Jan 14 19:44:48 UTC 2026","broken","Wed Jan 14 19:44:49 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesImplicitWaitTest"
"","375","Выбор и отмена элемента (select/deselect)","","Wed Jan 14 19:44:23 UTC 2026","broken","Wed Jan 14 19:44:23 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","selectFromListTest"
"","357","Пагинация","","Wed Jan 14 19:44:39 UTC 2026","broken","Wed Jan 14 19:44:39 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","secondPagePaginationTests"
"","359","Возврат на главную страницу","","Wed Jan 14 19:44:39 UTC 2026","broken","Wed Jan 14 19:44:40 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","returnToHomePageTest"
"XPath Locators","373","XPath: Attribute","","Wed Jan 14 19:44:30 UTC 2026","broken","Wed Jan 14 19:44:30 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAttributeLocator"
"CSS Locators","363","CSS Locators: Attribute","","Wed Jan 14 19:44:31 UTC 2026","broken","Wed Jan 14 19:44:31 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssAttributeLocator"
"","349","localStorageTest()","","Wed Jan 14 19:44:58 UTC 2026","broken","Wed Jan 14 19:44:59 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageTest"
"","385","sessionStorageDeleteTest()","","Wed Jan 14 19:44:58 UTC 2026","broken","Wed Jan 14 19:44:58 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageDeleteTest"
"CSS Locators","366","CSS Locators: Child","","Wed Jan 14 19:44:26 UTC 2026","broken","Wed Jan 14 19:44:26 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssChildLocator"
"","350","Отправка формы с выбранным значением Example range","","Wed Jan 14 19:44:55 UTC 2026","broken","Wed Jan 14 19:44:55 UTC 2026","","ui.WebFormTests","ui.WebFormTests","exampleRangeTest"
"CSS Locators","357","CSS Locators: Tag + ID","","Wed Jan 14 19:44:35 UTC 2026","broken","Wed Jan 14 19:44:35 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndIdLocator"
"","346","Отправка формы c пустой текстовой областью","","Wed Jan 14 19:44:54 UTC 2026","broken","Wed Jan 14 19:44:54 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaNullTest"
"CSS Locators","377","CSS Locators: Suffix","","Wed Jan 14 19:44:24 UTC 2026","broken","Wed Jan 14 19:44:24 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSuffixLocator"
"XPath Locators","383","XPath: Descendant","","Wed Jan 14 19:44:29 UTC 2026","broken","Wed Jan 14 19:44:29 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantLocator"
"","351","Отправка формы. Поле пароль с длинным текстом","","Wed Jan 14 19:44:51 UTC 2026","broken","Wed Jan 14 19:44:51 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordNullTest"
"","365","Невозможность ввести текст/знаки в readonly поле","","Wed Jan 14 19:44:54 UTC 2026","broken","Wed Jan 14 19:44:54 UTC 2026","","ui.WebFormTests","ui.WebFormTests","readonlyInputTest"
"","361","sessionStorageTest()","","Wed Jan 14 19:44:59 UTC 2026","broken","Wed Jan 14 19:44:59 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageTest"
"","360","loadingImagesFluentWaitTest()","","Wed Jan 14 19:44:48 UTC 2026","broken","Wed Jan 14 19:44:48 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesFluentWaitTest"
"","425","acceptLaunchPromptTest()","","Wed Jan 14 19:44:18 UTC 2026","broken","Wed Jan 14 19:44:19 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchPromptTest"
"","385","Получение данных элемента","","Wed Jan 14 19:44:21 UTC 2026","broken","Wed Jan 14 19:44:22 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","getInfoTest"
"","362","Невозможность ввести текст/знаки в заблокированное поле","","Wed Jan 14 19:44:49 UTC 2026","broken","Wed Jan 14 19:44:50 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInputTest"
"Base Locators","380","Base Locators: Class name","","Wed Jan 14 19:44:36 UTC 2026","broken","Wed Jan 14 19:44:37 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseClassNameLocator"
"XPath Locators","367","XPath: Not Smth","","Wed Jan 14 19:44:24 UTC 2026","broken","Wed Jan 14 19:44:24 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNotSmthLocator"
"XPath Locators","350","XPath: Относительный путь","","Wed Jan 14 19:44:33 UTC 2026","broken","Wed Jan 14 19:44:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathLocator"
"","353","Отображение главной страницы","","Wed Jan 14 19:44:40 UTC 2026","broken","Wed Jan 14 19:44:40 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","deFaultDisplayTest"
