"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","348","Отправка формы. Поле пароль с длинным текстом","","Wed Jan 14 16:41:01 UTC 2026","broken","Wed Jan 14 16:41:02 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordNullTest"
"CSS Locators","362","CSS Locators: Attribute","","Wed Jan 14 16:40:42 UTC 2026","broken","Wed Jan 14 16:40:43 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssAttributeLocator"
"CSS Locators","351","CSS Locators: Class name","","Wed Jan 14 16:40:39 UTC 2026","broken","Wed Jan 14 16:40:39 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssClassNameLocator"
"","390","Скролл страницы","","Wed Jan 14 16:40:28 UTC 2026","broken","Wed Jan 14 16:40:28 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"","365","Количество страниц","","Wed Jan 14 16:40:51 UTC 2026","broken","Wed Jan 14 16:40:51 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","numberOfPagesTest"
"","412","Отправка формы. Поле текстовое со скролом","","Wed Jan 14 16:41:00 UTC 2026","broken","Wed Jan 14 16:41:00 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaTest"
"","349","loadingImagesImplicitWaitTest()","","Wed Jan 14 16:40:59 UTC 2026","broken","Wed Jan 14 16:40:59 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesImplicitWaitTest"
"XPath Locators","361","XPath: Text","","Wed Jan 14 16:40:44 UTC 2026","broken","Wed Jan 14 16:40:44 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTextLocator"
"XPath Locators","395","XPath: Parent","","Wed Jan 14 16:40:39 UTC 2026","broken","Wed Jan 14 16:40:39 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentLocator"
"","384","Отправка формы с датой","","Wed Jan 14 16:41:03 UTC 2026","broken","Wed Jan 14 16:41:03 UTC 2026","","ui.WebFormTests","ui.WebFormTests","datePickerTest2"
"","351","localStorageColorTest()","","Wed Jan 14 16:41:08 UTC 2026","broken","Wed Jan 14 16:41:09 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageColorTest"
"","889","openWindowsTest()","","Wed Jan 14 16:40:54 UTC 2026","passed","Wed Jan 14 16:40:54 UTC 2026","","ui.OpenAllLinksTest","ui.OpenAllLinksTest","openWindowsTest"
"","363","infiniteScrollTest()","","Wed Jan 14 16:40:33 UTC 2026","broken","Wed Jan 14 16:40:33 UTC 2026","","ui.InfiniteScrollTests","ui.InfiniteScrollTests","infiniteScrollTest"
"Base Locators","349","Base Locators: ID","","Wed Jan 14 16:40:39 UTC 2026","broken","Wed Jan 14 16:40:40 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseIdLocator"
"","358","textIframeIsDisplayedTest()","","Wed Jan 14 16:40:33 UTC 2026","broken","Wed Jan 14 16:40:33 UTC 2026","","ui.IframesPageTests","ui.IframesPageTests","textIframeIsDisplayedTest"
"Base Locators","362","Base Locators: Tag Name","","Wed Jan 14 16:40:48 UTC 2026","broken","Wed Jan 14 16:40:48 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","tagNameLocator"
"","355","Отправка формы (SubmitButton)","","Wed Jan 14 16:40:34 UTC 2026","broken","Wed Jan 14 16:40:35 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","submitWebFormWitTextTest"
"XPath Locators","364","XPath: Ancestors of the current node","","Wed Jan 14 16:40:44 UTC 2026","broken","Wed Jan 14 16:40:44 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAncestorOfTheCurrentNodeLocator"
"","344","Отправка формы с выбранным значением Example range","","Wed Jan 14 16:41:06 UTC 2026","broken","Wed Jan 14 16:41:06 UTC 2026","","ui.WebFormTests","ui.WebFormTests","exampleRangeTest"
"","357","localStorageSetSeveralItemTest()","","Wed Jan 14 16:41:08 UTC 2026","broken","Wed Jan 14 16:41:08 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetSeveralItemTest"
"XPath Locators","358","XPath: Index (first element)","","Wed Jan 14 16:40:46 UTC 2026","broken","Wed Jan 14 16:40:46 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexFirstElementLocator"
"","370","acceptLaunchPromptTest()","","Wed Jan 14 16:40:31 UTC 2026","broken","Wed Jan 14 16:40:31 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchPromptTest"
"XPath Locators","361","XPath: Index (Nth element with smth)","","Wed Jan 14 16:40:49 UTC 2026","broken","Wed Jan 14 16:40:49 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexNthElementLocator"
"","1956","Работа с мышью","","Wed Jan 14 16:40:25 UTC 2026","broken","Wed Jan 14 16:40:27 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPIMouseClickTests"
"","497","openHomePageTest()","","Wed Jan 14 16:40:56 UTC 2026","passed","Wed Jan 14 16:40:56 UTC 2026","","ui.Selen","ui.Selen","openHomePageTest"
"","385","dismissLaunchPromptTest()","","Wed Jan 14 16:40:32 UTC 2026","broken","Wed Jan 14 16:40:32 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchPromptTest"
"","343","sessionStorageDeleteTest()","","Wed Jan 14 16:41:09 UTC 2026","broken","Wed Jan 14 16:41:09 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageDeleteTest"
"","410","colourLaunchConfirmTest()","","Wed Jan 14 16:40:29 UTC 2026","broken","Wed Jan 14 16:40:29 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchConfirmTest"
