"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","696","colourLaunchModalTest()","","Thu Jan 15 15:26:33 UTC 2026","passed","Thu Jan 15 15:26:34 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchModalTest"
"XPath Locators","594","XPath: Index (Nth element with smth)","","Thu Jan 15 15:27:10 UTC 2026","passed","Thu Jan 15 15:27:10 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexNthElementLocator"
"","580","shadowTest()","","Thu Jan 15 15:27:30 UTC 2026","passed","Thu Jan 15 15:27:30 UTC 2026","","ui.ShadowDOMTest","ui.ShadowDOMTest","shadowTest"
"","560","openHomePageTest()","","Thu Jan 15 15:27:28 UTC 2026","passed","Thu Jan 15 15:27:29 UTC 2026","","ui.Selen","ui.Selen","openHomePageTest"
"","626","Невозможность ввести текст/знаки в заблокированное поле","","Thu Jan 15 15:28:03 UTC 2026","passed","Thu Jan 15 15:28:04 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInputTest"
"","1868","signInTest()","","Thu Jan 15 15:27:26 UTC 2026","broken","Thu Jan 15 15:27:28 UTC 2026","","ui.Selen","ui.Selen","signInTest"
"","1037","Отправка формы (SubmitButton)","","Thu Jan 15 15:26:44 UTC 2026","passed","Thu Jan 15 15:26:45 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","submitWebFormWitTextTest"
"","627","localStorageTest()","","Thu Jan 15 15:28:38 UTC 2026","passed","Thu Jan 15 15:28:39 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageTest"
"","709","sessionStorageDeleteTest()","","Thu Jan 15 15:28:38 UTC 2026","passed","Thu Jan 15 15:28:38 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageDeleteTest"
"","672","localStorageColorTest()","","Thu Jan 15 15:28:37 UTC 2026","passed","Thu Jan 15 15:28:38 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageColorTest"
"","4163","slowCalcWaitTest()","","Thu Jan 15 15:27:30 UTC 2026","passed","Thu Jan 15 15:27:34 UTC 2026","","ui.SlowCalcTest","ui.SlowCalcTest","slowCalcWaitTest"
"XPath Locators","583","XPath: Относительный путь","","Thu Jan 15 15:27:02 UTC 2026","passed","Thu Jan 15 15:27:03 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathLocator"
"","619","localStorageSetItemTest()","","Thu Jan 15 15:28:36 UTC 2026","passed","Thu Jan 15 15:28:37 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetItemTest"
"XPath Locators","600","XPath: Descendant-or-self","","Thu Jan 15 15:26:49 UTC 2026","passed","Thu Jan 15 15:26:49 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantOrSelfLocator"
"","599","Загрузка файла","","Thu Jan 15 15:26:46 UTC 2026","broken","Thu Jan 15 15:26:47 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","fileUploadTest"
"Base Locators","601","Base Locators: ID","","Thu Jan 15 15:26:53 UTC 2026","passed","Thu Jan 15 15:26:54 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","baseIdLocator"
"CSS Locators","604","CSS Locators: Child","","Thu Jan 15 15:26:50 UTC 2026","passed","Thu Jan 15 15:26:51 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssChildLocator"
"","1651","Отправка формы с включенным чек-боксом Checked","","Thu Jan 15 15:28:32 UTC 2026","broken","Thu Jan 15 15:28:33 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkedIsDisabledTest"
"CSS Locators","607","CSS Locators: Substring","","Thu Jan 15 15:26:54 UTC 2026","passed","Thu Jan 15 15:26:55 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSubstringLocator"
"XPath Locators","569","XPath: Following-sibling","","Thu Jan 15 15:27:05 UTC 2026","passed","Thu Jan 15 15:27:05 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathFollowingSiblingLocator"
"","898","Отправка формы c пустой текстовой областью","","Thu Jan 15 15:28:24 UTC 2026","passed","Thu Jan 15 15:28:24 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaNullTest"
"","820","Отправка формы с датой","","Thu Jan 15 15:28:18 UTC 2026","passed","Thu Jan 15 15:28:18 UTC 2026","","ui.WebFormTests","ui.WebFormTests","datePickerTest2"
"","654","dismissLaunchPromptTest()","","Thu Jan 15 15:26:38 UTC 2026","passed","Thu Jan 15 15:26:38 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchPromptTest"
"","8561","loadingImagesImplicitWaitTest()","","Thu Jan 15 15:27:43 UTC 2026","passed","Thu Jan 15 15:27:51 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesImplicitWaitTest"
"","538","Количество страниц","","Thu Jan 15 15:27:13 UTC 2026","passed","Thu Jan 15 15:27:14 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","numberOfPagesTest"
"CSS Locators","586","CSS Locators: Exact Match","","Thu Jan 15 15:26:50 UTC 2026","passed","Thu Jan 15 15:26:50 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssExactMatchLocator"
"","597","Изменение цвета в Color picker","","Thu Jan 15 15:28:34 UTC 2026","passed","Thu Jan 15 15:28:35 UTC 2026","","ui.WebFormTests","ui.WebFormTests","changeColorTest"
"XPath Locators","574","XPath: Not Smth","","Thu Jan 15 15:26:48 UTC 2026","passed","Thu Jan 15 15:26:49 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNotSmthLocator"
"","671","localStorageSetSeveralItemTest()","","Thu Jan 15 15:28:36 UTC 2026","passed","Thu Jan 15 15:28:36 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetSeveralItemTest"
"XPath Locators","596","XPath: Index (first element)","","Thu Jan 15 15:27:04 UTC 2026","passed","Thu Jan 15 15:27:05 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexFirstElementLocator"
"","643","sessionStorageTest()","","Thu Jan 15 15:28:39 UTC 2026","passed","Thu Jan 15 15:28:40 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageTest"
"CSS Locators","589","CSS Locators: ID","","Thu Jan 15 15:26:56 UTC 2026","passed","Thu Jan 15 15:26:56 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssIdLocator"
"CSS Locators","607","CSS Locators: Name","","Thu Jan 15 15:27:09 UTC 2026","passed","Thu Jan 15 15:27:10 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssNameLocator"
"CSS Locators","606","CSS Locators: Tag","","Thu Jan 15 15:27:03 UTC 2026","passed","Thu Jan 15 15:27:04 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagLocator"
"CSS Locators","605","CSS Locators: Tag + Class","","Thu Jan 15 15:27:06 UTC 2026","passed","Thu Jan 15 15:27:07 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndClassLocator"
"","788","Проверка dropdown (datalist)","","Thu Jan 15 15:28:12 UTC 2026","passed","Thu Jan 15 15:28:13 UTC 2026","","ui.WebFormTests","ui.WebFormTests","dropdownDataListTest"
"","1256","cookiesTest()","","Thu Jan 15 15:26:30 UTC 2026","passed","Thu Jan 15 15:26:31 UTC 2026","","ui.CookiesTests","ui.CookiesTests","cookiesTest"
"CSS Locators","608","CSS Locators: Tag + ID","","Thu Jan 15 15:27:05 UTC 2026","passed","Thu Jan 15 15:27:06 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndIdLocator"
"","8539","loadingImagesFluentWaitTest()","","Thu Jan 15 15:27:34 UTC 2026","passed","Thu Jan 15 15:27:43 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesFluentWaitTest"
"","1773","closeLaunchModalTest()","","Thu Jan 15 15:26:35 UTC 2026","passed","Thu Jan 15 15:26:37 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","closeLaunchModalTest"
"XPath Locators","608","XPath: Normalize-space","","Thu Jan 15 15:27:07 UTC 2026","passed","Thu Jan 15 15:27:07 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNormalizeSpaceLocator"
"","648","Отправка формы. Поле текстовое макс длина","","Thu Jan 15 15:28:09 UTC 2026","passed","Thu Jan 15 15:28:10 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaMaxLengthTest"
"","882","openLoginPageTest()","","Thu Jan 15 15:27:29 UTC 2026","passed","Thu Jan 15 15:27:30 UTC 2026","","ui.Selen","ui.Selen","openLoginPageTest"
"","644","launchAlertAcceptanceTest()","","Thu Jan 15 15:26:37 UTC 2026","passed","Thu Jan 15 15:26:38 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","launchAlertAcceptanceTest"
"","902","openWindowsTest()","","Thu Jan 15 15:27:25 UTC 2026","passed","Thu Jan 15 15:27:26 UTC 2026","","ui.OpenAllLinksTest","ui.OpenAllLinksTest","openWindowsTest"
"","675","acceptLaunchConfirmTest()","","Thu Jan 15 15:26:32 UTC 2026","passed","Thu Jan 15 15:26:33 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchConfirmTest"
"","1575","Пагинация","","Thu Jan 15 15:27:12 UTC 2026","passed","Thu Jan 15 15:27:13 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","secondPagePaginationTests"
"XPath Locators","595","XPath: Child","","Thu Jan 15 15:26:59 UTC 2026","passed","Thu Jan 15 15:27:00 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathChildLocator"
"XPath Locators","584","XPath: Text","","Thu Jan 15 15:27:01 UTC 2026","passed","Thu Jan 15 15:27:02 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTextLocator"
"XPath Locators","598","XPath: Any Parent","","Thu Jan 15 15:27:00 UTC 2026","passed","Thu Jan 15 15:27:01 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentOrSelfLocator"
"XPath Locators","582","XPath: Tag","","Thu Jan 15 15:26:55 UTC 2026","passed","Thu Jan 15 15:26:55 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTagLocator"
"","931","Отправка формы. Поле текста со знаками","","Thu Jan 15 15:28:25 UTC 2026","passed","Thu Jan 15 15:28:26 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputSignsTest"
"","4511","Отправка формы с выбранным значением Example range","","Thu Jan 15 15:28:26 UTC 2026","passed","Thu Jan 15 15:28:31 UTC 2026","","ui.WebFormTests","ui.WebFormTests","exampleRangeTest"
"CSS Locators","594","CSS Locators: Suffix","","Thu Jan 15 15:26:47 UTC 2026","passed","Thu Jan 15 15:26:48 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSuffixLocator"
"","8601","loadingImagesExplicitWaitTest()","","Thu Jan 15 15:27:51 UTC 2026","passed","Thu Jan 15 15:28:00 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesExplicitWaitTest"
"","1061","Невозможность включения двух чекбоксов радио","","Thu Jan 15 15:28:35 UTC 2026","passed","Thu Jan 15 15:28:36 UTC 2026","","ui.WebFormTests","ui.WebFormTests","bothRadioCheckboxTest"
"","913","Отправка формы с пустым полем текста","","Thu Jan 15 15:28:17 UTC 2026","passed","Thu Jan 15 15:28:18 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputNullTest"
"","3576","Отправка формы. Поле текста 100 предложений","","Thu Jan 15 15:28:19 UTC 2026","passed","Thu Jan 15 15:28:23 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInput100Test"
"XPath Locators","607","XPath: Parent","","Thu Jan 15 15:26:53 UTC 2026","passed","Thu Jan 15 15:26:53 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentLocator"
"XPath Locators","583","XPath: Ancestors of the current node","","Thu Jan 15 15:27:01 UTC 2026","passed","Thu Jan 15 15:27:01 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAncestorOfTheCurrentNodeLocator"
"","679","Очищение поля Text input(Clear text)","","Thu Jan 15 15:26:43 UTC 2026","passed","Thu Jan 15 15:26:44 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","clearTextTest"
